workerid,proliferate.condition,ai,human,text,time,trial,error
1768,condition 1,0,100,,8023,14,
1768,condition 1,2,98,,5587,5,
1768,condition 1,1,99,,3579,10,
1768,condition 1,1,99,,4010,8,
1768,condition 1,2,99,,4120,4,
1768,condition 1,2,98,,5204,2,
1768,condition 1,2,100,,5706,7,
1768,condition 1,2,98,,4285,15,
1768,condition 1,2,98,,6403,3,
1768,condition 1,1,100,,3971,16,
1768,condition 1,2,99,,3593,6,
1819,condition 1,59,86,,12108,0,
1819,condition 1,63,85,,3370,0,
1819,condition 1,65,87,,6596,13,
1819,condition 1,30,29,,14791,8,
1819,condition 1,60,67,,9120,16,
1819,condition 1,8,93,,6480,7,
1819,condition 1,62,82,,5051,4,
1819,condition 1,7,8,,10987,9,
1819,condition 1,12,11,,5664,5,
1819,condition 1,14,14,,4274,10,
1819,condition 1,88,9,,7017,1,
1819,condition 1,8,6,,4428,6,
1819,condition 1,5,28,,8130,12,
1819,condition 1,72,76,,3456,14,
1819,condition 1,74,82,,7501,2,
1819,condition 1,67,78,,3753,3,
1819,condition 1,64,83,,7845,15,
1819,condition 1,0,89,,5887,11,
1785,condition 1,83,66,,8357,0,
1785,condition 1,87,26,,5242,3,
1785,condition 1,29,92,,4330,11,
1785,condition 1,47,78,,4161,8,
1785,condition 1,76,62,,3598,4,
1785,condition 1,45,17,,5092,9,
1785,condition 1,56,78,,3402,7,
1785,condition 1,87,65,,2958,15,
1785,condition 1,50,49,,3027,6,
1785,condition 1,67,51,,3450,13,
1785,condition 1,49,51,,2489,10,
1785,condition 1,52,51,,3115,5,
1785,condition 1,84,51,,3133,16,
1785,condition 1,80,55,,3082,2,
1785,condition 1,73,52,,2883,14,
1785,condition 1,78,47,,2809,1,
1785,condition 1,64,62,,3513,12,
1775,condition 1,8,88,,8113,0,
1775,condition 1,10,94,,5669,0,
1775,condition 1,18,82,,7728,16,
1775,condition 1,0,0,,16430,12,
1775,condition 1,0,0,,8914,8,
1775,condition 1,0,0,,3342,10,
1775,condition 1,6,85,,4539,3,
1775,condition 1,0,6,,14016,9,
1775,condition 1,20,80,,8265,15,
1775,condition 1,0,87,,4332,11,
1775,condition 1,19,75,,16899,14,
1775,condition 1,1,16,,10181,5,
1775,condition 1,30,56,,14742,2,
1775,condition 1,0,11,,8171,6,
1775,condition 1,0,80,,14507,7,
1775,condition 1,15,86,,6470,4,
1775,condition 1,20,85,,4741,13,
1775,condition 1,27,66,,3789,1,
1808,condition 1,3,99,,13926,0,
1808,condition 1,23,67,,13307,15,
1808,condition 1,1,98,,9747,1,
1808,condition 1,4,1,,6299,10,
1808,condition 1,3,3,,3207,6,
1808,condition 1,5,84,,6919,11,
1808,condition 1,7,94,,10399,5,
1808,condition 1,2,2,,3834,8,
1808,condition 1,8,91,,8002,16,
1808,condition 1,4,99,,4233,14,
1808,condition 1,4,99,,4281,4,
1808,condition 1,4,98,,3532,7,
1808,condition 1,3,2,,3410,12,
1808,condition 1,3,94,,4428,3,
1808,condition 1,2,97,,3409,9,
1808,condition 1,1,2,,10354,13,
1808,condition 1,4,98,,3758,2,
1776,condition 1,87,8,,15451,0,
1776,condition 1,90,8,,10845,1,
1776,condition 1,0,100,,9534,11,
1776,condition 1,76,22,,23094,13,
1776,condition 1,72,23,,21855,15,
1776,condition 1,66,27,,25366,4,
1776,condition 1,0,100,,19574,9,
1776,condition 1,24,71,,50022,5,
1776,condition 1,59,38,,23527,2,
1776,condition 1,6,94,,38526,7,
1776,condition 1,1,19,,24990,6,
1776,condition 1,57,38,,12790,3,
1776,condition 1,10,92,,25254,8,
1776,condition 1,70,29,,12084,14,
