trial,tau_scaler,theta_scaler,prob_succ_no_ai,prob_succ_other_decision,ai_count,human_count,prob_other_decision
2,0.6,5.0,0.0,0.0,21,0,0.446044245280393
2,0.8,5.0,0.0,0.0,21,0,0.4174297935376853
2,1.0,5.0,0.0,0.0,21,0,0.3893607660507781
2,1.2,5.0,0.0,0.0,21,0,0.35434369377420455
2,1.4,5.0,0.0,0.0,21,0,0.36973977708224876
2,1.6,5.0,0.0,0.0,21,0,0.37363200827185195
2,1.8,5.0,0.0,0.0,21,0,0.3933306438917885
2,2.0,5.0,0.0,0.0,21,0,0.4133824210826698
2,0.6,6.0,0.0,0.0,21,0,0.43536370819697084
2,0.8,6.0,0.0,0.0,21,0,0.401312339887548
2,1.0,6.0,0.0,0.0,21,0,0.36818758226389836
2,1.2,6.0,0.0,0.0,21,0,0.3273929829322395
2,1.4,6.0,0.0,0.0,21,0,0.34524653939368066
2,1.6,6.0,0.0,0.0,21,0,0.3497814514261731
2,1.8,6.0,0.0,0.0,21,0,0.37285223368680437
2,2.0,6.0,0.0,0.0,21,0,0.39651675013527377
2,0.6,7.0,0.0,0.0,21,0,0.4247428250543576
2,0.8,7.0,0.0,0.0,21,0,0.3854055017324505
2,1.0,7.0,0.0,0.0,21,0,0.34751053780725555
2,1.2,7.0,0.0,0.0,21,0,0.30153478399746114
2,1.4,7.0,0.0,0.0,21,0,0.3215480508579817
2,1.6,7.0,0.0,0.0,21,0,0.3266593829676409
2,1.8,7.0,0.0,0.0,21,0,0.3528199507665029
2,2.0,7.0,0.0,0.0,21,0,0.3798935676569097
2,0.6,8.0,0.0,0.0,21,0,0.4141909784350151
2,0.8,8.0,0.0,0.0,21,0,0.36973977708224864
2,1.0,8.0,0.0,0.0,21,0,0.32739298293223945
2,1.2,8.0,0.0,0.0,21,0,0.2768781948756102
2,1.4,8.0,0.0,0.0,21,0,0.29873408260613765
2,1.6,8.0,0.0,0.0,21,0,0.30435034694347884
2,1.8,8.0,0.0,0.0,21,0,0.33329196733387684
2,2.0,8.0,0.0,0.0,21,0,0.36354745971843355
3,0.6,1.0,0.04666666666666667,0.08333333333333333,21,0,0.5041665702187285
